[Mon May 23 17:35:01.222140 2022] [php7:notice] [pid 20604] [client 192.168.100.133:62631] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 17:59:28.361328 2022] [php7:notice] [pid 20631] [client 192.168.100.133:49266] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301, referer: http://insure.pro.auto/err404.html
[Mon May 23 17:59:36.478700 2022] [php7:notice] [pid 20597] [client 192.168.100.133:49289] PHP Notice:  Undefined index: HTTPS in /var/www/html/insure.pro.auto/index.php on line 167, referer: http://insure.pro.auto/
[Mon May 23 17:59:43.171894 2022] [php7:notice] [pid 20604] [client 192.168.100.133:49302] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 17:59:43.172101 2022] [php7:notice] [pid 20604] [client 192.168.100.133:49302] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 17:59:48.278515 2022] [php7:notice] [pid 11071] [client 192.168.100.133:49303] PHP Notice:  Undefined index: HTTPS in /var/www/html/insure.pro.auto/index.php on line 167, referer: http://insure.pro.auto/
[Mon May 23 18:00:45.836867 2022] [php7:notice] [pid 11069] [client 192.168.100.133:49446] PHP Notice:  Undefined index: HTTPS in /var/www/html/insure.pro.auto/index.php on line 167, referer: http://insure.pro.auto/
[Mon May 23 18:01:43.177253 2022] [php7:notice] [pid 11069] [client 91.107.85.85:55044] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 18:01:43.177466 2022] [php7:notice] [pid 11069] [client 91.107.85.85:55044] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 18:07:59.082585 2022] [php7:notice] [pid 20716] [client 91.107.85.85:55154] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 18:07:59.082764 2022] [php7:notice] [pid 20716] [client 91.107.85.85:55154] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 18:08:01.931630 2022] [php7:notice] [pid 11067] [client 91.107.85.85:55155] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Mon May 23 18:08:01.931805 2022] [php7:notice] [pid 11067] [client 91.107.85.85:55155] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:14:07.648482 2022] [php7:notice] [pid 20631] [client 51.81.167.146:46926] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:14:07.648575 2022] [php7:notice] [pid 20631] [client 51.81.167.146:46926] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:14:09.315027 2022] [php7:notice] [pid 11068] [client 162.142.125.9:35120] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:14:09.315131 2022] [php7:notice] [pid 11068] [client 162.142.125.9:35120] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:15:29.958983 2022] [php7:notice] [pid 11070] [client 34.205.92.84:55592] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:15:29.959183 2022] [php7:notice] [pid 11070] [client 34.205.92.84:55592] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:19:19.897689 2022] [php7:notice] [pid 25055] [client 192.168.100.133:64823] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:19:19.898087 2022] [php7:notice] [pid 25055] [client 192.168.100.133:64823] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:19:20.633266 2022] [php7:notice] [pid 25056] [client 192.168.100.133:64824] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:19:20.633439 2022] [php7:notice] [pid 25056] [client 192.168.100.133:64824] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:21:09.618088 2022] [php7:notice] [pid 25061] [client 192.168.100.133:65058] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:21:09.618464 2022] [php7:notice] [pid 25061] [client 192.168.100.133:65058] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:21:10.310147 2022] [php7:notice] [pid 25061] [client 192.168.100.133:65058] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:21:10.310325 2022] [php7:notice] [pid 25061] [client 192.168.100.133:65058] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:35:20.144139 2022] [php7:notice] [pid 25218] [client 91.107.85.85:52389] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:35:20.144485 2022] [php7:notice] [pid 25218] [client 91.107.85.85:52389] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:59:55.163983 2022] [php7:notice] [pid 25473] [client 91.107.85.85:52842] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 10:59:55.164346 2022] [php7:notice] [pid 25473] [client 91.107.85.85:52842] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 11:56:21.251491 2022] [php7:notice] [pid 25471] [client 192.168.100.133:61285] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 11:56:21.251671 2022] [php7:notice] [pid 25471] [client 192.168.100.133:61285] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 12:11:17.310329 2022] [php7:notice] [pid 25472] [client 192.168.100.133:63167] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 12:11:17.310511 2022] [php7:notice] [pid 25472] [client 192.168.100.133:63167] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 12:11:17.818226 2022] [php7:notice] [pid 25475] [client 192.168.100.133:63168] PHP Notice:  Undefined variable: data in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 12:11:17.818368 2022] [php7:notice] [pid 25475] [client 192.168.100.133:63168] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/loginme/loginme.php on line 301
[Tue May 24 12:31:50.396775 2022] [php7:error] [pid 29655] [client 192.168.100.133:49350] PHP Parse error:  syntax error, unexpected 'var_dump' (T_STRING) in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 12:32:55.674926 2022] [php7:error] [pid 26683] [client 192.168.100.133:49473] PHP Parse error:  syntax error, unexpected 'var_dump' (T_STRING) in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 12:34:04.013149 2022] [php7:error] [pid 25476] [client 192.168.100.133:49612] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 12:34:04.742430 2022] [php7:error] [pid 26685] [client 192.168.100.133:49613] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 12:34:57.835321 2022] [php7:error] [pid 25475] [client 192.168.100.133:49739] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 12:35:19.989469 2022] [php7:error] [pid 29655] [client 192.168.100.133:49740] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 12:35:22.722802 2022] [php7:error] [pid 29656] [client 192.168.100.133:49783] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 12:35:23.435600 2022] [php7:error] [pid 26683] [client 192.168.100.133:49794] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 12:35:23.894423 2022] [php7:error] [pid 26681] [client 192.168.100.133:49795] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:06:05.337232 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_connect(): (HY000/1049): Unknown database 'sklad_it' in /var/www/html/insure.pro.auto/index.php on line 2
[Tue May 24 13:06:05.337311 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, bool given in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 13:06:05.337332 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:06:05.337352 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/insure.pro.auto/index.php on line 19
[Tue May 24 13:06:07.088158 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_connect(): (HY000/1049): Unknown database 'sklad_it' in /var/www/html/insure.pro.auto/index.php on line 2
[Tue May 24 13:06:07.088298 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, bool given in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 13:06:07.088347 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:06:07.088388 2022] [php7:warn] [pid 26681] [client 192.168.100.133:53600] PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/insure.pro.auto/index.php on line 19
[Tue May 24 13:08:09.926339 2022] [php7:error] [pid 25475] [client 192.168.100.133:53802] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_set_charset() in /var/www/html/insure.pro.auto/index.php:3\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 3
[Tue May 24 13:08:12.992190 2022] [php7:error] [pid 25471] [client 192.168.100.133:53856] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_set_charset() in /var/www/html/insure.pro.auto/index.php:3\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 3
[Tue May 24 13:08:23.259249 2022] [php7:error] [pid 26685] [client 192.168.100.133:53862] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_set_charset() in /var/www/html/insure.pro.auto/index.php:4\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 4
[Tue May 24 13:08:46.562304 2022] [php7:notice] [pid 26681] [client 192.168.100.133:53881] PHP Notice:  Undefined variable: mysqli in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:08:46.562536 2022] [php7:error] [pid 26681] [client 192.168.100.133:53881] PHP Fatal error:  Uncaught Error: Call to a member function set_charset() on null in /var/www/html/insure.pro.auto/index.php:5\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:08:47.330556 2022] [php7:notice] [pid 14616] [client 192.168.100.133:53931] PHP Notice:  Undefined variable: mysqli in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:08:47.330782 2022] [php7:error] [pid 14616] [client 192.168.100.133:53931] PHP Fatal error:  Uncaught Error: Call to a member function set_charset() on null in /var/www/html/insure.pro.auto/index.php:5\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 5
[Tue May 24 13:11:14.405091 2022] [php7:warn] [pid 26683] [client 192.168.100.133:54238] PHP Warning:  mb_convert_encoding() expects at least 2 parameters, 1 given in /var/www/html/insure.pro.auto/index.php on line 7
[Tue May 24 13:11:14.405226 2022] [php7:warn] [pid 26683] [client 192.168.100.133:54238] PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/insure.pro.auto/index.php on line 21
[Tue May 24 13:15:33.353442 2022] [php7:error] [pid 26681] [client 192.168.100.133:55132] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_connect() in /var/www/html/insure.pro.auto/index.php:3\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 3
[Tue May 24 13:16:22.652072 2022] [php7:error] [pid 25471] [client 192.168.100.133:55133] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_connect() in /var/www/html/insure.pro.auto/index.php:3\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 3
[Tue May 24 14:37:44.472178 2022] [php7:error] [pid 29656] [client 192.168.100.133:65137] PHP Fatal error:  Uncaught Error: Call to undefined function requre_once() in /var/www/html/insure.pro.auto/index.php:2\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 2
[Tue May 24 14:38:06.523889 2022] [php7:error] [pid 29655] [client 192.168.100.133:65138] PHP Fatal error:  Uncaught Error: Call to undefined function requre_once() in /var/www/html/insure.pro.auto/index.php:2\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 2
[Tue May 24 14:38:32.154043 2022] [php7:error] [pid 26683] [client 192.168.100.133:65176] PHP Fatal error:  Uncaught Error: Call to undefined function requre() in /var/www/html/insure.pro.auto/index.php:2\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 2
[Tue May 24 15:37:40.177032 2022] [php7:error] [pid 26685] [client 192.168.100.133:56121] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 8, referer: http://insure.pro.auto/
[Tue May 24 15:37:45.374184 2022] [php7:error] [pid 29656] [client 192.168.100.133:56132] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 8, referer: http://insure.pro.auto/
[Tue May 24 15:38:14.175009 2022] [php7:error] [pid 26683] [client 192.168.100.133:56147] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 8, referer: http://insure.pro.auto/
[Tue May 24 15:38:15.485902 2022] [php7:error] [pid 29655] [client 192.168.100.133:56194] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 8, referer: http://insure.pro.auto/
[Tue May 24 15:40:16.728491 2022] [php7:error] [pid 18315] [client 192.168.100.133:56350] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 8, referer: http://insure.pro.auto/
[Tue May 24 15:44:42.756077 2022] [php7:warn] [pid 18415] [client 192.168.100.133:56956] PHP Warning:  array_map() expects parameter 1 to be a valid callback, function 'mysql_real_escape_string' not found or invalid function name in /var/www/html/insure.pro.auto/add.php on line 9, referer: http://insure.pro.auto/
[Tue May 24 15:45:46.425914 2022] [php7:warn] [pid 26685] [client 192.168.100.133:57081] PHP Warning:  array_map() expects parameter 1 to be a valid callback, function 'mysql_real_escape_string' not found or invalid function name in /var/www/html/insure.pro.auto/add.php on line 9, referer: http://insure.pro.auto/
[Tue May 24 15:45:46.426119 2022] [php7:warn] [pid 26685] [client 192.168.100.133:57081] PHP Warning:  implode(): Invalid arguments passed in /var/www/html/insure.pro.auto/add.php on line 10, referer: http://insure.pro.auto/
[Tue May 24 15:49:26.981595 2022] [php7:error] [pid 25471] [client 192.168.100.133:57505] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 12, referer: http://insure.pro.auto/
[Tue May 24 15:49:28.364929 2022] [php7:error] [pid 26678] [client 192.168.100.133:57512] PHP Parse error:  syntax error, unexpected '"', expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/html/insure.pro.auto/add.php on line 12, referer: http://insure.pro.auto/
[Tue May 24 15:53:19.277006 2022] [php7:warn] [pid 26685] [client 192.168.100.133:57964] PHP Warning:  array_map() expects parameter 1 to be a valid callback, function 'mysql_real_escape_string' not found or invalid function name in /var/www/html/insure.pro.auto/add.php on line 9, referer: http://insure.pro.auto/
[Tue May 24 16:11:04.128381 2022] [php7:error] [pid 18415] [client 192.168.100.133:60015] PHP Parse error:  syntax error, unexpected 'sklad_it' (T_STRING) in /var/www/html/insure.pro.auto/add.php on line 17, referer: http://insure.pro.auto/
[Tue May 24 16:11:05.020119 2022] [php7:error] [pid 18414] [client 192.168.100.133:60016] PHP Parse error:  syntax error, unexpected 'sklad_it' (T_STRING) in /var/www/html/insure.pro.auto/add.php on line 17, referer: http://insure.pro.auto/
[Tue May 24 16:12:10.355908 2022] [php7:error] [pid 26678] [client 192.168.100.133:60143] PHP Parse error:  syntax error, unexpected 'sklad_it' (T_STRING) in /var/www/html/insure.pro.auto/add.php on line 16, referer: http://insure.pro.auto/
[Tue May 24 16:46:13.392782 2022] [php7:notice] [pid 18414] [client 192.168.100.133:64129] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 6, referer: http://insure.pro.auto/
[Tue May 24 16:46:31.498334 2022] [php7:notice] [pid 20938] [client 192.168.100.133:64152] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 6, referer: http://insure.pro.auto/
[Tue May 24 16:47:59.266553 2022] [php7:notice] [pid 18315] [client 192.168.100.133:64354] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 6, referer: http://insure.pro.auto/
[Tue May 24 16:50:08.866031 2022] [php7:notice] [pid 18414] [client 192.168.100.133:64626] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 6
[Tue May 24 16:52:53.875867 2022] [php7:notice] [pid 18415] [client 192.168.100.133:64949] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 6, referer: http://insure.pro.auto/
[Tue May 24 17:06:28.528469 2022] [php7:notice] [pid 14448] [client 192.168.100.133:50251] PHP Notice:  Array to string conversion in /var/www/html/insure.pro.auto/remove.php on line 7, referer: http://insure.pro.auto/
[Tue May 24 17:14:09.434827 2022] [php7:notice] [pid 18414] [client 192.168.100.133:51184] PHP Notice:  Array to string conversion in /var/www/html/insure.pro.auto/remove.php on line 7, referer: http://insure.pro.auto/
[Wed May 25 09:56:21.846260 2022] [php7:notice] [pid 14616] [client 192.168.100.133:53100] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/remove.php on line 3
[Wed May 25 16:11:34.332411 2022] [php7:warn] [pid 18415] [client 192.168.100.133:49936] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, bool given in /var/www/html/insure.pro.auto/footer.php on line 5
[Wed May 25 16:11:34.332802 2022] [php7:warn] [pid 18415] [client 192.168.100.133:49936] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, bool given in /var/www/html/insure.pro.auto/footer.php on line 7
[Wed May 25 16:11:34.332846 2022] [php7:warn] [pid 18415] [client 192.168.100.133:49936] PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/insure.pro.auto/footer.php on line 17
[Wed May 25 16:11:34.332878 2022] [php7:warn] [pid 18415] [client 192.168.100.133:49936] PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/insure.pro.auto/footer.php on line 32
[Wed May 25 16:51:57.463704 2022] [php7:error] [pid 18415] [client 192.168.100.133:54937] PHP Parse error:  syntax error, unexpected '$sql' (T_VARIABLE) in /var/www/html/insure.pro.auto/add_category.php on line 7, referer: http://insure.pro.auto/
[Wed May 25 16:52:20.590250 2022] [php7:error] [pid 18315] [client 192.168.100.133:54966] PHP Parse error:  syntax error, unexpected '$sql' (T_VARIABLE) in /var/www/html/insure.pro.auto/add_category.php on line 7, referer: http://insure.pro.auto/
[Thu May 26 11:59:49.886782 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined index: id in /var/www/html/insure.pro.auto/detail/index.php on line 16
[Thu May 26 11:59:49.888698 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 26
[Thu May 26 11:59:49.888796 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 26
[Thu May 26 11:59:49.888829 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 30
[Thu May 26 11:59:49.888857 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 30
[Thu May 26 11:59:49.888887 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 34
[Thu May 26 11:59:49.888913 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 34
[Thu May 26 11:59:49.888942 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 38
[Thu May 26 11:59:49.888968 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 38
[Thu May 26 11:59:49.888997 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 42
[Thu May 26 11:59:49.889022 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 42
[Thu May 26 11:59:49.889049 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 46
[Thu May 26 11:59:49.889075 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 46
[Thu May 26 11:59:49.889103 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Undefined offset: 0 in /var/www/html/insure.pro.auto/detail/index.php on line 50
[Thu May 26 11:59:49.889129 2022] [php7:notice] [pid 1425] [client 94.25.170.19:6112] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/insure.pro.auto/detail/index.php on line 50
[Thu May 26 12:19:09.586059 2022] [php7:notice] [pid 12063] [client 192.168.100.133:65084] PHP Notice:  Undefined variable: url in /var/www/html/insure.pro.auto/index.php on line 116
[Thu May 26 12:21:32.011292 2022] [php7:error] [pid 1424] [client 192.168.100.133:65440] PHP Fatal error:  Uncaught Error: Class 'QrCode' not found in /var/www/html/insure.pro.auto/index.php:110\nStack trace:\n#0 {main}\n  thrown in /var/www/html/insure.pro.auto/index.php on line 110
